symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
NEA,google_news_rss,True,2026-03-14,2026-04-13,0,0,0,,False,bootstrapped_empty
ROS,google_news_rss,True,2026-03-14,2026-04-13,8,8,3,,False,articles_appended=8
PLEJD,google_news_rss,True,2026-03-14,2026-04-13,8,8,4,,False,articles_appended=8
0AAL,google_news_rss,True,2026-03-14,2026-04-13,0,0,0,,False,bootstrapped_empty
GMM,google_news_rss,True,2026-03-14,2026-04-13,13,13,9,,False,articles_appended=13
WHA,google_news_rss,True,2026-03-14,2026-04-13,9,9,8,,False,articles_appended=9
ACRI-B,google_news_rss,True,2026-03-14,2026-04-13,0,0,0,,False,bootstrapped_empty
ACOMO,google_news_rss,True,2026-03-14,2026-04-13,0,0,0,,False,bootstrapped_empty
0LCV,google_news_rss,True,2026-03-14,2026-04-13,0,0,0,,False,bootstrapped_empty
ARVEN,google_news_rss,True,2026-03-14,2026-04-13,7,7,5,,False,articles_appended=7
COVH,google_news_rss,True,2026-03-14,2026-04-13,0,0,0,,False,bootstrapped_empty
TKA,google_news_rss,True,2026-03-14,2026-04-13,1,1,1,,False,articles_appended=1
APETIT,google_news_rss,True,2026-03-14,2026-04-13,2,2,1,,False,articles_appended=2
RAW,google_news_rss,True,2026-03-14,2026-04-13,11,11,7,,False,articles_appended=11
CTEK,google_news_rss,True,2026-03-14,2026-04-13,3,3,2,,False,articles_appended=3
ELG,google_news_rss,True,2026-03-14,2026-04-13,15,15,9,,False,articles_appended=15
RBI,google_news_rss,True,2026-03-14,2026-04-13,17,17,10,,False,articles_appended=17
ADKO,google_news_rss,True,2026-03-14,2026-04-13,16,16,7,,False,articles_appended=16
ALSOG,google_news_rss,True,2026-03-14,2026-04-13,7,7,5,,False,articles_appended=7
GURN,google_news_rss,True,2026-03-14,2026-04-13,1,1,1,,False,articles_appended=1
ISS,google_news_rss,True,2026-03-14,2026-04-13,5,5,4,,False,articles_appended=5
PEAB-B,google_news_rss,True,2026-03-14,2026-04-13,1,1,1,,False,articles_appended=1
FGR,google_news_rss,True,2026-03-14,2026-04-13,7,7,6,,False,articles_appended=7
ACAD,google_news_rss,True,2026-03-14,2026-04-13,1,1,1,,False,articles_appended=1
GRNG,google_news_rss,True,2026-03-14,2026-04-13,0,0,0,,False,bootstrapped_empty
NONG,google_news_rss,True,2026-03-14,2026-04-13,14,14,7,,False,articles_appended=14
VTURA,google_news_rss,True,2026-03-14,2026-04-13,15,15,5,,False,articles_appended=15
INSTAL,google_news_rss,True,2026-03-14,2026-04-13,0,0,0,,False,bootstrapped_empty
RUI,google_news_rss,True,2026-03-14,2026-04-13,3,3,3,,False,articles_appended=3
