symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
MGM,google_news_rss,True,2026-05-24,2026-06-02,19,19,4,,False,articles_appended=19
HPE,google_news_rss,True,2026-05-29,2026-06-02,27,27,9,,False,articles_appended=27
RVMD,google_news_rss,True,2026-05-29,2026-06-02,21,15,19,,False,articles_appended=15
PK,google_news_rss,True,2026-05-03,2026-06-02,12,12,7,,False,articles_appended=12
EW,google_news_rss,True,2026-05-03,2026-06-02,20,20,10,,False,articles_appended=20
IAC,google_news_rss,True,2026-05-03,2026-06-02,16,16,7,,False,articles_appended=16
EWTX,google_news_rss,True,2026-05-03,2026-06-02,24,24,5,,False,articles_appended=24
TAC,google_news_rss,True,2026-05-03,2026-06-02,10,10,6,,False,articles_appended=10
LC,google_news_rss,True,2026-05-03,2026-06-02,17,17,9,,False,articles_appended=17
TBBB,google_news_rss,True,2026-05-03,2026-06-02,19,19,6,,False,articles_appended=19
RDVT,google_news_rss,True,2026-05-03,2026-06-02,19,19,6,,False,articles_appended=19
