symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
MCHPP,google_news_rss,True,2026-03-22,2026-04-21,17,17,6.0,,False,articles_appended=17
SILA,google_news_rss,True,2026-03-22,2026-04-21,16,16,2.0,,False,articles_appended=16
NKTR,google_news_rss,True,2026-03-22,2026-04-21,15,15,2.0,,False,articles_appended=15
SIRI,google_news_rss,True,2026-03-22,2026-04-21,8,8,5.0,,False,articles_appended=8
AOSL,google_news_rss,True,2026-03-22,2026-04-21,18,18,7.0,,False,articles_appended=18
POET,google_news_rss,True,2026-03-22,2026-04-21,17,17,6.0,,False,articles_appended=17
ARCO,google_news_rss,True,2026-03-22,2026-04-21,12,12,6.0,,False,articles_appended=12
OCS,google_news_rss,True,2026-03-22,2026-04-21,0,0,0.0,,False,bootstrapped_empty
HPE-PC,google_news_rss,True,2026-03-22,2026-04-21,14,14,7.0,,False,articles_appended=14
HPE-P-C,google_news_rss,True,2026-03-22,2026-04-21,0,0,0.0,,False,bootstrapped_empty
KYTX,google_news_rss,True,2026-03-22,2026-04-21,1,1,1.0,,False,articles_appended=1
FERG,google_news_rss,True,2026-03-22,2026-04-21,19,19,9.0,,False,articles_appended=19
LION,google_news_rss,True,2026-03-22,2026-04-21,0,0,,,True,no_new_articles
CM,google_news_rss,True,2026-03-22,2026-04-21,17,17,9.0,,False,articles_appended=17
SKM,google_news_rss,True,2026-03-22,2026-04-21,3,3,3.0,,False,articles_appended=3
SFNC,google_news_rss,True,2026-04-17,2026-04-21,15,7,5.0,,False,articles_appended=7
HG,google_news_rss,True,2026-03-22,2026-04-21,20,20,13.0,,False,articles_appended=20
WAFD,google_news_rss,True,2026-03-22,2026-04-21,9,9,7.0,,False,articles_appended=9
STLD,google_news_rss,True,2026-03-22,2026-04-21,24,24,3.0,,False,articles_appended=24
LBTYK,google_news_rss,True,2026-03-22,2026-04-21,0,0,0.0,,False,bootstrapped_empty
VECO,google_news_rss,True,2026-03-22,2026-04-21,11,11,9.0,,False,articles_appended=11
