symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
0ROY,google_news_rss,True,2026-04-19,2026-04-26,4,0,,,True,articles_appended=0
ZUBN,google_news_rss,True,2026-03-27,2026-04-26,0,0,,,True,no_new_articles
MLGAL,google_news_rss,True,2026-03-27,2026-04-26,0,0,,,True,no_new_articles
ILKKA1,google_news_rss,True,2026-03-27,2026-04-26,0,0,,,True,no_new_articles
FREY,google_news_rss,True,2026-04-21,2026-04-26,7,3,13.0,,False,articles_appended=3
TGS,google_news_rss,True,2026-03-27,2026-04-26,0,0,,,True,no_new_articles
CRAP,google_news_rss,True,2026-04-15,2026-04-26,2,1,5.0,,False,articles_appended=1
CURN,google_news_rss,True,2026-03-27,2026-04-26,0,0,,,True,no_new_articles
CRTO,google_news_rss,True,2026-03-27,2026-04-26,0,0,,,True,no_new_articles
CBSM,google_news_rss,True,2026-03-27,2026-04-26,0,0,,,True,no_new_articles
M7U,google_news_rss,True,2026-04-19,2026-04-26,1,0,,,True,articles_appended=0
ROBA,google_news_rss,True,2026-03-27,2026-04-26,0,0,,,True,no_new_articles
VIRI,google_news_rss,True,2026-04-19,2026-04-26,3,2,9.0,,False,articles_appended=2
EFG,google_news_rss,True,2026-04-21,2026-04-26,3,1,8.0,,False,articles_appended=1
