symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
MLWEA,google_news_rss,True,2026-04-05,2026-05-05,2,2,2,,False,articles_appended=2
BKS,google_news_rss,True,2026-04-05,2026-05-05,1,1,1,,False,articles_appended=1
MVE,google_news_rss,True,2026-04-05,2026-05-05,0,0,0,,False,bootstrapped_empty
CMO,google_news_rss,True,2026-04-11,2026-05-05,3,3,6,,False,articles_appended=3
HAV,google_news_rss,True,2026-04-05,2026-05-05,7,7,4,,False,articles_appended=7
SCE,google_news_rss,True,2026-04-05,2026-05-05,1,1,1,,False,articles_appended=1
PYT,google_news_rss,True,2026-04-05,2026-05-05,3,3,3,,False,articles_appended=3
ALPAU,google_news_rss,True,2026-04-05,2026-05-05,2,2,2,,False,articles_appended=2
M12,google_news_rss,True,2026-04-05,2026-05-05,3,3,3,,False,articles_appended=3
ABEA,google_news_rss,True,2026-04-05,2026-05-05,14,14,7,,False,articles_appended=14
AYV,google_news_rss,True,2026-04-05,2026-05-05,9,9,6,,False,articles_appended=9
MLZAM,google_news_rss,True,2026-04-05,2026-05-05,9,9,4,,False,articles_appended=9
ALAVI,google_news_rss,True,2026-04-05,2026-05-05,2,2,2,,False,articles_appended=2
HDLY,google_news_rss,True,2026-04-05,2026-05-05,2,2,2,,False,articles_appended=2
APAM,google_news_rss,True,2026-04-05,2026-05-05,13,13,5,,False,articles_appended=13
BNN,google_news_rss,True,2026-04-05,2026-05-05,0,0,0,,False,bootstrapped_empty
PHM7,google_news_rss,True,2026-04-05,2026-05-05,21,21,5,,False,articles_appended=21
ABEC,google_news_rss,True,2026-04-05,2026-05-05,14,14,5,,False,articles_appended=14
OUT1V,google_news_rss,True,2026-04-05,2026-05-05,4,4,4,,False,articles_appended=4
CAT1,google_news_rss,True,2026-04-05,2026-05-05,20,20,8,,False,articles_appended=20
WAF,google_news_rss,True,2026-04-05,2026-05-05,19,19,8,,False,articles_appended=19
SMHN,google_news_rss,True,2026-04-05,2026-05-05,9,9,6,,False,articles_appended=9
