symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
HPE-P-C,google_news_rss,True,2026-04-30,2026-05-30,0,0,,,True,no_new_articles
HPE-PC,google_news_rss,True,2026-04-19,2026-05-30,16,16,15.0,,False,articles_appended=16
HPE,google_news_rss,True,2026-04-30,2026-05-30,22,22,6.0,,False,articles_appended=22
RPRX,google_news_rss,True,2026-04-30,2026-05-30,17,17,6.0,,False,articles_appended=17
DELL,google_news_rss,True,2026-05-26,2026-05-30,26,17,4.0,,False,articles_appended=17
NTAP,google_news_rss,True,2026-05-24,2026-05-30,22,20,8.0,,False,articles_appended=20
SNX,google_news_rss,True,2026-05-24,2026-05-30,15,9,12.0,,False,articles_appended=9
ALKS,google_news_rss,True,2026-04-30,2026-05-30,17,17,9.0,,False,articles_appended=17
F,google_news_rss,True,2026-04-30,2026-05-30,29,29,6.0,,False,articles_appended=29
SN,google_news_rss,True,2026-04-30,2026-05-30,23,23,13.0,,False,articles_appended=23
MRCY,google_news_rss,True,2026-04-30,2026-05-30,17,17,4.0,,False,articles_appended=17
ATI,google_news_rss,True,2026-04-30,2026-05-30,1,1,1.0,,False,articles_appended=1
RVMD,google_news_rss,True,2026-04-13,2026-05-30,19,19,15.0,,False,articles_appended=19
AVGO,google_news_rss,True,2026-04-30,2026-05-30,21,21,4.0,,False,articles_appended=21
IVZ,google_news_rss,True,2026-04-30,2026-05-30,20,20,9.0,,False,articles_appended=20
GE,google_news_rss,True,2026-04-30,2026-05-30,15,15,8.0,,False,articles_appended=15
