symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
VLY,google_news_rss,True,2026-03-25,2026-04-24,19,19,5,,False,articles_appended=19
TXN,google_news_rss,True,2026-04-20,2026-04-24,34,28,4,,False,articles_appended=28
WST,google_news_rss,True,2026-03-25,2026-04-24,16,16,2,,False,articles_appended=16
UNP,google_news_rss,True,2026-03-25,2026-04-24,28,28,4,,False,articles_appended=28
AZZ,google_news_rss,True,2026-03-25,2026-04-24,2,2,2,,False,articles_appended=2
HXL,google_news_rss,True,2026-03-25,2026-04-24,18,18,4,,False,articles_appended=18
CX,google_news_rss,True,2026-03-25,2026-04-24,6,6,3,,False,articles_appended=6
DOV,google_news_rss,True,2026-04-17,2026-04-24,29,29,12,,False,articles_appended=29
TECK,google_news_rss,True,2026-03-25,2026-04-24,3,3,2,,False,articles_appended=3
NEE,google_news_rss,True,2026-03-25,2026-04-24,20,20,5,,False,articles_appended=20
BYD,google_news_rss,True,2026-03-25,2026-04-24,22,22,5,,False,articles_appended=22
BA-PA,google_news_rss,True,2026-03-25,2026-04-24,10,10,4,,False,articles_appended=10
ARMK,google_news_rss,True,2026-03-25,2026-04-24,21,21,9,,False,articles_appended=21
BA-P-A,google_news_rss,True,2026-03-25,2026-04-24,0,0,0,,False,bootstrapped_empty
AIZ,google_news_rss,True,2026-03-25,2026-04-24,20,20,13,,False,articles_appended=20
