symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
MLWEA,google_news_rss,True,2026-04-25,2026-05-09,1,1,3.0,,False,articles_appended=1
BKS,google_news_rss,True,2026-05-02,2026-05-09,2,0,,,True,articles_appended=0
MVE,google_news_rss,True,2026-04-09,2026-05-09,0,0,,,True,no_new_articles
CMO,google_news_rss,True,2026-04-27,2026-05-09,4,1,6.0,,False,articles_appended=1
HAV,google_news_rss,True,2026-05-03,2026-05-09,3,0,,,True,articles_appended=0
SCE,google_news_rss,True,2026-05-03,2026-05-09,4,1,2.0,,False,articles_appended=1
PYT,google_news_rss,True,2026-05-03,2026-05-09,1,1,6.0,,False,articles_appended=1
ALPAU,google_news_rss,True,2026-04-28,2026-05-09,1,0,,,True,articles_appended=0
M12,google_news_rss,True,2026-04-26,2026-05-09,0,0,,,True,no_new_articles
ABEA,google_news_rss,True,2026-05-04,2026-05-09,11,6,12.0,,False,articles_appended=6
AYV,google_news_rss,True,2026-05-03,2026-05-09,5,0,,,True,articles_appended=0
MLZAM,google_news_rss,True,2026-05-02,2026-05-09,0,0,,,True,no_new_articles
ALAVI,google_news_rss,True,2026-04-28,2026-05-09,2,1,2.0,,False,articles_appended=1
HDLY,google_news_rss,True,2026-05-04,2026-05-09,1,0,,,True,articles_appended=0
APAM,google_news_rss,True,2026-05-02,2026-05-09,6,0,,,True,articles_appended=0
BNN,google_news_rss,True,2026-04-09,2026-05-09,0,0,,,True,no_new_articles
PHM7,google_news_rss,True,2026-05-04,2026-05-09,18,11,10.0,,False,articles_appended=11
ABEC,google_news_rss,True,2026-05-05,2026-05-09,12,6,9.0,,False,articles_appended=6
OUT1V,google_news_rss,True,2026-05-01,2026-05-09,1,0,,,True,articles_appended=0
CAT1,google_news_rss,True,2026-05-04,2026-05-09,15,6,12.0,,False,articles_appended=6
WAF,google_news_rss,True,2026-05-04,2026-05-09,8,5,12.0,,False,articles_appended=5
SMHN,google_news_rss,True,2026-05-04,2026-05-09,8,2,9.0,,False,articles_appended=2
