symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
MXL,google_news_rss,True,2026-04-26,2026-04-30,21,14,21,,False,articles_appended=14
COHU,google_news_rss,True,2026-04-26,2026-04-30,14,11,14,,False,articles_appended=11
SXT,google_news_rss,True,2026-04-25,2026-04-30,19,9,8,,False,articles_appended=9
POET,google_news_rss,True,2026-04-26,2026-04-30,28,15,16,,False,articles_appended=15
UVE,google_news_rss,True,2026-04-25,2026-04-30,14,6,8,,False,articles_appended=6
MRAM,google_news_rss,True,2026-04-25,2026-04-30,15,15,14,,False,articles_appended=15
PDFS,google_news_rss,True,2026-04-25,2026-04-30,9,3,10,,False,articles_appended=3
