symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
MXL,google_news_rss,True,2026-05-07,2026-05-11,14,3,31,,False,articles_appended=3
COHU,google_news_rss,True,2026-05-06,2026-05-11,7,4,24,,False,articles_appended=4
SXT,google_news_rss,True,2026-05-06,2026-05-11,8,5,19,,False,articles_appended=5
POET,google_news_rss,True,2026-05-06,2026-05-11,14,5,27,,False,articles_appended=5
UVE,google_news_rss,True,2026-05-06,2026-05-11,4,1,18,,False,articles_appended=1
MRAM,google_news_rss,True,2026-05-06,2026-05-11,17,5,24,,False,articles_appended=5
PDFS,google_news_rss,True,2026-05-07,2026-05-11,16,5,21,,False,articles_appended=5
