symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
HYDRA,google_news_rss,True,2026-03-18,2026-04-17,0,0,0.0,,False,bootstrapped_empty
GLO,google_news_rss,True,2026-03-18,2026-04-17,4,4,3.0,,False,articles_appended=4
N4G0,google_news_rss,True,2026-03-18,2026-04-17,0,0,0.0,,False,bootstrapped_empty
FAST,google_news_rss,True,2026-03-18,2026-04-17,2,2,1.0,,False,articles_appended=2
CMCOM,google_news_rss,True,2026-03-18,2026-04-17,4,4,2.0,,False,articles_appended=4
UTDI,google_news_rss,True,2026-03-18,2026-04-17,0,0,0.0,,False,bootstrapped_empty
OPTS,google_news_rss,True,2026-03-18,2026-04-17,0,0,0.0,,False,bootstrapped_empty
MLP,google_news_rss,True,2026-03-18,2026-04-17,7,7,3.0,,False,articles_appended=7
BRKN,google_news_rss,True,2026-03-18,2026-04-17,18,18,8.0,,False,articles_appended=18
DFDS,google_news_rss,True,2026-03-18,2026-04-17,7,7,2.0,,False,articles_appended=7
STGN,google_news_rss,True,2026-03-18,2026-04-17,1,1,1.0,,False,articles_appended=1
OHB,google_news_rss,True,2026-03-18,2026-04-17,12,12,4.0,,False,articles_appended=12
FREY,google_news_rss,True,2026-03-18,2026-04-17,15,15,4.0,,False,articles_appended=15
0QMG,google_news_rss,True,2026-04-07,2026-04-17,11,10,7.0,,False,articles_appended=10
RAIKV,google_news_rss,True,2026-03-18,2026-04-17,3,3,3.0,,False,articles_appended=3
ZLNA,google_news_rss,True,2026-03-18,2026-04-17,7,7,5.0,,False,articles_appended=7
MLUMG,google_news_rss,True,2026-03-18,2026-04-17,1,1,1.0,,False,articles_appended=1
LPK,google_news_rss,True,2026-03-18,2026-04-17,2,2,2.0,,False,articles_appended=2
AKSO,google_news_rss,True,2026-03-18,2026-04-17,9,9,6.0,,False,articles_appended=9
SSAB-B,google_news_rss,True,2026-03-18,2026-04-17,2,2,2.0,,False,articles_appended=2
NDA,google_news_rss,True,2026-03-18,2026-04-17,4,4,4.0,,False,articles_appended=4
ACAD,google_news_rss,True,2026-04-04,2026-04-17,1,0,,,True,articles_appended=0
STORY-B,google_news_rss,True,2026-03-18,2026-04-17,0,0,0.0,,False,bootstrapped_empty
ATS,google_news_rss,True,2026-03-18,2026-04-17,0,0,0.0,,False,bootstrapped_empty
