symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
RAPP,google_news_rss,True,2026-03-28,2026-04-20,1,0,,,True,articles_appended=0
LION,google_news_rss,True,2026-03-21,2026-04-20,0,0,,,True,no_new_articles
MXL,google_news_rss,True,2026-04-15,2026-04-20,18,7,11.0,,False,articles_appended=7
TRVI,google_news_rss,True,2026-04-15,2026-04-20,16,5,6.0,,False,articles_appended=5
CVBF,google_news_rss,True,2026-04-15,2026-04-20,8,2,10.0,,False,articles_appended=2
DOV,google_news_rss,True,2026-04-15,2026-04-20,21,7,9.0,,False,articles_appended=7
SPXC,google_news_rss,True,2026-04-15,2026-04-20,13,4,8.0,,False,articles_appended=4
FFBC,google_news_rss,True,2026-04-15,2026-04-20,13,5,10.0,,False,articles_appended=5
HTBK,google_news_rss,True,2026-04-15,2026-04-20,10,6,12.0,,False,articles_appended=6
SYF,google_news_rss,True,2026-04-16,2026-04-20,7,4,10.0,,False,articles_appended=4
FRO,google_news_rss,True,2026-04-16,2026-04-20,10,5,17.0,,False,articles_appended=5
APG,google_news_rss,True,2026-04-15,2026-04-20,15,5,9.0,,False,articles_appended=5
SFNC,google_news_rss,True,2026-04-15,2026-04-20,20,5,5.0,,False,articles_appended=5
ALLY,google_news_rss,True,2026-04-16,2026-04-20,22,4,5.0,,False,articles_appended=4
