symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
MLWEA,google_news_rss,True,2026-05-03,2026-05-12,1,1,4.0,,False,articles_appended=1
BKS,google_news_rss,True,2026-05-02,2026-05-12,2,1,3.0,,False,articles_appended=1
MVE,google_news_rss,True,2026-04-12,2026-05-12,0,0,,,True,no_new_articles
CMO,google_news_rss,True,2026-04-27,2026-05-12,3,0,,,True,articles_appended=0
HAV,google_news_rss,True,2026-05-03,2026-05-12,3,0,,,True,articles_appended=0
SCE,google_news_rss,True,2026-05-03,2026-05-12,4,0,,,True,articles_appended=0
PYT,google_news_rss,True,2026-05-03,2026-05-12,1,0,,,True,articles_appended=0
ALPAU,google_news_rss,True,2026-05-07,2026-05-12,1,0,,,True,articles_appended=0
M12,google_news_rss,True,2026-04-26,2026-05-12,0,0,,,True,no_new_articles
ABEA,google_news_rss,True,2026-05-07,2026-05-12,13,6,14.0,,False,articles_appended=6
AYV,google_news_rss,True,2026-05-07,2026-05-12,1,0,,,True,articles_appended=0
MLZAM,google_news_rss,True,2026-05-02,2026-05-12,0,0,,,True,no_new_articles
ALAVI,google_news_rss,True,2026-04-28,2026-05-12,3,2,3.0,,False,articles_appended=2
HDLY,google_news_rss,True,2026-05-04,2026-05-12,6,1,5.0,,False,articles_appended=1
APAM,google_news_rss,True,2026-05-02,2026-05-12,5,0,,,True,articles_appended=0
BNN,google_news_rss,True,2026-05-06,2026-05-12,1,0,,,True,articles_appended=0
PHM7,google_news_rss,True,2026-05-08,2026-05-12,9,3,11.0,,False,articles_appended=3
ABEC,google_news_rss,True,2026-05-08,2026-05-12,14,11,13.0,,False,articles_appended=11
OUT1V,google_news_rss,True,2026-05-01,2026-05-12,1,0,,,True,articles_appended=0
CAT1,google_news_rss,True,2026-05-07,2026-05-12,13,8,16.0,,False,articles_appended=8
WAF,google_news_rss,True,2026-05-08,2026-05-12,10,4,14.0,,False,articles_appended=4
SMHN,google_news_rss,True,2026-05-06,2026-05-12,12,1,10.0,,False,articles_appended=1
