symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
JBHT,google_news_rss,True,2026-03-18,2026-04-17,19,19,3,,False,articles_appended=19
NN,google_news_rss,True,2026-03-18,2026-04-17,5,5,2,,False,articles_appended=5
VSH,google_news_rss,True,2026-03-18,2026-04-17,20,20,7,,False,articles_appended=20
ALB-PA,google_news_rss,True,2026-03-18,2026-04-17,19,19,8,,False,articles_appended=19
BK,google_news_rss,True,2026-03-18,2026-04-17,16,16,2,,False,articles_appended=16
AVNS,google_news_rss,True,2026-04-13,2026-04-17,18,5,4,,False,articles_appended=5
TAL,google_news_rss,True,2026-03-18,2026-04-17,10,10,5,,False,articles_appended=10
AXGN,google_news_rss,True,2026-03-18,2026-04-17,14,14,8,,False,articles_appended=14
ARCB,google_news_rss,True,2026-03-18,2026-04-17,18,18,10,,False,articles_appended=18
AMLX,google_news_rss,True,2026-03-18,2026-04-17,13,13,10,,False,articles_appended=13
