symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
0AAL,google_news_rss,True,2026-03-19,2026-04-18,0,0,,,True,no_new_articles
B7J,google_news_rss,True,2026-03-19,2026-04-18,7,7,6.0,,False,articles_appended=7
ACAST,google_news_rss,True,2026-03-19,2026-04-18,5,5,4.0,,False,articles_appended=5
ALWEC,google_news_rss,True,2026-03-19,2026-04-18,0,0,0.0,,False,bootstrapped_empty
BOY,google_news_rss,True,2026-03-19,2026-04-18,9,9,6.0,,False,articles_appended=9
RTC,google_news_rss,True,2026-04-12,2026-04-18,1,1,6.0,,False,articles_appended=1
ECK,google_news_rss,True,2026-03-19,2026-04-18,0,0,0.0,,False,bootstrapped_empty
MEMS,google_news_rss,True,2026-03-19,2026-04-18,0,0,0.0,,False,bootstrapped_empty
SEM,google_news_rss,True,2026-03-19,2026-04-18,1,1,1.0,,False,articles_appended=1
0A29,google_news_rss,True,2026-03-19,2026-04-18,7,7,5.0,,False,articles_appended=7
SYIFJERADKKA,google_news_rss,True,2026-03-19,2026-04-18,0,0,0.0,,False,bootstrapped_empty
SKIVEK,google_news_rss,True,2026-03-19,2026-04-18,0,0,0.0,,False,bootstrapped_empty
GLKBN,google_news_rss,True,2026-03-19,2026-04-18,4,4,4.0,,False,articles_appended=4
AMD,google_news_rss,True,2026-03-19,2026-04-18,32,32,5.0,,False,articles_appended=32
INSTAL,google_news_rss,True,2026-03-19,2026-04-18,0,0,,,True,no_new_articles
CWIEMMKL,google_news_rss,True,2026-03-19,2026-04-18,0,0,0.0,,False,bootstrapped_empty
ASCN,google_news_rss,True,2026-04-06,2026-04-18,3,1,5.0,,False,articles_appended=1
ASY,google_news_rss,True,2026-03-19,2026-04-18,1,1,1.0,,False,articles_appended=1
LBIRD,google_news_rss,True,2026-03-19,2026-04-18,2,2,1.0,,False,articles_appended=2
GSJ,google_news_rss,True,2026-03-19,2026-04-18,0,0,0.0,,False,bootstrapped_empty
VAIAS,google_news_rss,True,2026-03-19,2026-04-18,2,2,1.0,,False,articles_appended=2
NAVIGO-PREF,google_news_rss,True,2026-03-19,2026-04-18,0,0,0.0,,False,bootstrapped_empty
CMBN,google_news_rss,True,2026-03-19,2026-04-18,1,1,1.0,,False,articles_appended=1
FASTPC,google_news_rss,True,2026-03-19,2026-04-18,0,0,0.0,,False,bootstrapped_empty
0J6V,google_news_rss,True,2026-03-19,2026-04-18,9,9,3.0,,False,articles_appended=9
SHF,google_news_rss,True,2026-03-19,2026-04-18,3,3,3.0,,False,articles_appended=3
SOI,google_news_rss,True,2026-03-19,2026-04-18,11,11,9.0,,False,articles_appended=11
VIRP,google_news_rss,True,2026-03-19,2026-04-18,13,13,7.0,,False,articles_appended=13
QH9,google_news_rss,True,2026-04-10,2026-04-18,17,17,11.0,,False,articles_appended=17
CABK,google_news_rss,True,2026-03-19,2026-04-18,17,17,8.0,,False,articles_appended=17
DG,google_news_rss,True,2026-03-19,2026-04-18,21,21,7.0,,False,articles_appended=21
INVE-B,google_news_rss,True,2026-03-19,2026-04-18,0,0,0.0,,False,bootstrapped_empty
DB1,google_news_rss,True,2026-03-19,2026-04-18,24,24,8.0,,False,articles_appended=24
ALFA,google_news_rss,True,2026-03-19,2026-04-18,9,9,9.0,,False,articles_appended=9
UTDI,google_news_rss,True,2026-03-19,2026-04-18,0,0,,,True,no_new_articles
ADDT-B,google_news_rss,True,2026-03-19,2026-04-18,2,2,2.0,,False,articles_appended=2
ABBN,google_news_rss,True,2026-03-19,2026-04-18,22,22,13.0,,False,articles_appended=22
NOD,google_news_rss,True,2026-03-19,2026-04-18,8,8,6.0,,False,articles_appended=8
DFDS,google_news_rss,True,2026-04-11,2026-04-18,6,0,,,True,articles_appended=0
