symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
INDU-A,google_news_rss,True,2026-05-01,2026-05-31,0,0,0.0,,False,bootstrapped_empty
BRAV,google_news_rss,True,2026-05-01,2026-05-31,20,20,9.0,,False,articles_appended=20
SSAB-A,google_news_rss,True,2026-05-01,2026-05-31,5,5,5.0,,False,articles_appended=5
EMSN,google_news_rss,True,2026-05-01,2026-05-31,11,11,8.0,,False,articles_appended=11
GRNG,google_news_rss,True,2026-05-01,2026-05-31,1,1,1.0,,False,articles_appended=1
GRLA,google_news_rss,True,2026-05-01,2026-05-31,0,0,,,True,no_new_articles
LOGN,google_news_rss,True,2026-05-01,2026-05-31,21,21,14.0,,False,articles_appended=21
BAMNB,google_news_rss,True,2026-05-01,2026-05-31,4,4,4.0,,False,articles_appended=4
12DA,google_news_rss,True,2026-05-01,2026-05-31,0,0,,,True,no_new_articles
OVH,google_news_rss,True,2026-05-01,2026-05-31,3,3,2.0,,False,articles_appended=3
HIAG,google_news_rss,True,2026-05-01,2026-05-31,1,1,1.0,,False,articles_appended=1
KREATE,google_news_rss,True,2026-04-10,2026-05-31,7,7,7.0,,False,articles_appended=7
HOLN,google_news_rss,True,2026-05-01,2026-05-31,7,7,6.0,,False,articles_appended=7
ACAST,google_news_rss,True,2026-04-14,2026-05-31,10,10,13.0,,False,articles_appended=10
RBI,google_news_rss,True,2026-04-10,2026-05-31,11,11,18.0,,False,articles_appended=11
NP3,google_news_rss,True,2026-05-01,2026-05-31,14,14,9.0,,False,articles_appended=14
DANSKE,google_news_rss,True,2026-05-01,2026-05-31,16,16,8.0,,False,articles_appended=16
WAF,google_news_rss,True,2026-05-11,2026-05-31,11,11,23.0,,False,articles_appended=11
EXENS,google_news_rss,True,2026-05-01,2026-05-31,0,0,0.0,,False,bootstrapped_empty
LOUP,google_news_rss,True,2026-05-01,2026-05-31,0,0,,,True,no_new_articles
SSABBH,google_news_rss,True,2026-05-01,2026-05-31,1,1,1.0,,False,articles_appended=1
SIX3,google_news_rss,True,2026-05-01,2026-05-31,13,13,10.0,,False,articles_appended=13
NCAB,google_news_rss,True,2026-05-01,2026-05-31,1,1,1.0,,False,articles_appended=1
INDU-C,google_news_rss,True,2026-05-01,2026-05-31,0,0,0.0,,False,bootstrapped_empty
AYV,google_news_rss,True,2026-05-11,2026-05-31,9,9,19.0,,False,articles_appended=9
CBK,google_news_rss,True,2026-05-01,2026-05-31,25,25,13.0,,False,articles_appended=25
CABK,google_news_rss,True,2026-04-15,2026-05-31,13,13,21.0,,False,articles_appended=13
TREL-B,google_news_rss,True,2026-05-01,2026-05-31,0,0,0.0,,False,bootstrapped_empty
ORNBV,google_news_rss,True,2026-05-01,2026-05-31,2,2,2.0,,False,articles_appended=2
BG,google_news_rss,True,2026-05-01,2026-05-31,4,4,4.0,,False,articles_appended=4
EPI-A,google_news_rss,True,2026-05-01,2026-05-31,2,2,2.0,,False,articles_appended=2
BIOA-B,google_news_rss,True,2026-05-01,2026-05-31,12,12,6.0,,False,articles_appended=12
