symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
0AA9,google_news_rss,True,2026-03-14,2026-04-13,0,0,,,True,no_new_articles
0DNW,google_news_rss,True,2026-03-14,2026-04-13,6,6,3.0,,False,articles_appended=6
0QMG,google_news_rss,True,2026-03-14,2026-04-13,4,4,3.0,,False,articles_appended=4
AKVA,google_news_rss,True,2026-03-14,2026-04-13,12,12,3.0,,False,articles_appended=12
ALNSE,google_news_rss,True,2026-03-14,2026-04-13,9,9,2.0,,False,articles_appended=9
ALNT,google_news_rss,True,2026-03-14,2026-04-13,1,1,1.0,,False,articles_appended=1
ALRIB,google_news_rss,True,2026-03-14,2026-04-13,11,11,5.0,,False,articles_appended=11
ARVOSK,google_news_rss,True,2026-03-14,2026-04-13,1,1,1.0,,False,articles_appended=1
BALYO,google_news_rss,True,2026-03-14,2026-04-13,1,1,1.0,,False,articles_appended=1
BIJ,google_news_rss,True,2026-03-14,2026-04-13,1,1,1.0,,False,articles_appended=1
BOHO-PREF,google_news_rss,True,2026-03-14,2026-04-13,9,9,7.0,,False,articles_appended=9
ILKKA2,google_news_rss,True,2026-03-14,2026-04-13,0,0,,,True,no_new_articles
KREATE,google_news_rss,True,2026-03-14,2026-04-13,6,6,4.0,,False,articles_appended=6
LOIHDE,google_news_rss,True,2026-03-14,2026-04-13,4,4,3.0,,False,articles_appended=4
LOUP,google_news_rss,True,2026-03-14,2026-04-13,0,0,,,True,no_new_articles
LOYAL,google_news_rss,True,2026-03-14,2026-04-13,0,0,,,True,no_new_articles
NEWCAP,google_news_rss,True,2026-03-14,2026-04-13,1,1,1.0,,False,articles_appended=1
QH9,google_news_rss,True,2026-03-14,2026-04-13,17,17,6.0,,False,articles_appended=17
RIO1,google_news_rss,True,2026-03-14,2026-04-13,19,19,9.0,,False,articles_appended=19
SPIR,google_news_rss,True,2026-03-14,2026-04-13,21,21,5.0,,False,articles_appended=21
SQU,google_news_rss,True,2026-03-14,2026-04-13,8,8,5.0,,False,articles_appended=8
WMA,google_news_rss,True,2026-03-14,2026-04-13,1,1,1.0,,False,articles_appended=1
YHSP,google_news_rss,True,2026-03-14,2026-04-13,1,1,1.0,,False,articles_appended=1
FRT,google_news_rss,True,2026-03-14,2026-04-13,13,13,7.0,,False,articles_appended=13
TIMB,google_news_rss,True,2026-03-14,2026-04-13,13,13,6.0,,False,articles_appended=13
MRVL,google_news_rss,True,2026-03-14,2026-04-13,21,21,7.0,,False,articles_appended=21
AXIA,google_news_rss,True,2026-03-14,2026-04-13,11,11,8.0,,False,articles_appended=11
LION,google_news_rss,True,2026-03-14,2026-04-13,0,0,,,True,no_new_articles
