symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
FBP,google_news_rss,True,2026-03-23,2026-04-22,16,16,8.0,,False,articles_appended=16
DBRG,google_news_rss,True,2026-03-23,2026-04-22,13,13,7.0,,False,articles_appended=13
NVTS,google_news_rss,True,2026-03-23,2026-04-22,21,21,8.0,,False,articles_appended=21
NTRS,google_news_rss,True,2026-03-23,2026-04-22,21,21,3.0,,False,articles_appended=21
PBI,google_news_rss,True,2026-03-23,2026-04-22,18,18,5.0,,False,articles_appended=18
CAR,google_news_rss,True,2026-04-12,2026-04-22,26,26,10.0,,False,articles_appended=26
RCUS,google_news_rss,True,2026-03-23,2026-04-22,21,21,3.0,,False,articles_appended=21
HWKN,google_news_rss,True,2026-03-23,2026-04-22,20,20,10.0,,False,articles_appended=20
MCHPP,google_news_rss,True,2026-04-17,2026-04-22,9,2,8.0,,False,articles_appended=2
MXL,google_news_rss,True,2026-04-17,2026-04-22,22,18,13.0,,False,articles_appended=18
SILA,google_news_rss,True,2026-04-18,2026-04-22,16,4,2.0,,False,articles_appended=4
DGX,google_news_rss,True,2026-03-23,2026-04-22,28,28,5.0,,False,articles_appended=28
EWBC,google_news_rss,True,2026-03-23,2026-04-22,16,16,2.0,,False,articles_appended=16
HPE-PC,google_news_rss,True,2026-04-18,2026-04-22,13,10,8.0,,False,articles_appended=10
HPE-P-C,google_news_rss,True,2026-03-23,2026-04-22,0,0,,,True,no_new_articles
STLD,google_news_rss,True,2026-04-18,2026-04-22,24,19,4.0,,False,articles_appended=19
COHU,google_news_rss,True,2026-03-23,2026-04-22,15,15,6.0,,False,articles_appended=15
STT,google_news_rss,True,2026-03-23,2026-04-22,30,30,8.0,,False,articles_appended=30
