symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
MLWEA,google_news_rss,True,2026-04-25,2026-05-06,1,0,,,True,articles_appended=0
BKS,google_news_rss,True,2026-05-01,2026-05-06,1,0,,,True,articles_appended=0
MVE,google_news_rss,True,2026-04-06,2026-05-06,0,0,,,True,no_new_articles
CMO,google_news_rss,True,2026-04-27,2026-05-06,2,0,,,True,articles_appended=0
HAV,google_news_rss,True,2026-05-01,2026-05-06,4,2,5.0,,False,articles_appended=2
SCE,google_news_rss,True,2026-04-24,2026-05-06,1,0,,,True,articles_appended=0
PYT,google_news_rss,True,2026-04-26,2026-05-06,2,1,4.0,,False,articles_appended=1
ALPAU,google_news_rss,True,2026-04-28,2026-05-06,1,0,,,True,articles_appended=0
M12,google_news_rss,True,2026-04-26,2026-05-06,1,0,,,True,articles_appended=0
ABEA,google_news_rss,True,2026-05-01,2026-05-06,8,4,9.0,,False,articles_appended=4
AYV,google_news_rss,True,2026-05-01,2026-05-06,7,3,8.0,,False,articles_appended=3
MLZAM,google_news_rss,True,2026-04-28,2026-05-06,3,1,5.0,,False,articles_appended=1
ALAVI,google_news_rss,True,2026-04-28,2026-05-06,2,0,,,True,articles_appended=0
HDLY,google_news_rss,True,2026-04-20,2026-05-06,1,0,,,True,articles_appended=0
APAM,google_news_rss,True,2026-05-01,2026-05-06,12,5,6.0,,False,articles_appended=5
BNN,google_news_rss,True,2026-04-06,2026-05-06,0,0,,,True,no_new_articles
PHM7,google_news_rss,True,2026-05-01,2026-05-06,17,8,7.0,,False,articles_appended=8
ABEC,google_news_rss,True,2026-05-01,2026-05-06,12,11,7.0,,False,articles_appended=11
OUT1V,google_news_rss,True,2026-05-01,2026-05-06,1,0,,,True,articles_appended=0
CAT1,google_news_rss,True,2026-05-01,2026-05-06,14,11,10.0,,False,articles_appended=11
WAF,google_news_rss,True,2026-05-01,2026-05-06,9,5,9.0,,False,articles_appended=5
SMHN,google_news_rss,True,2026-04-27,2026-05-06,4,0,,,True,articles_appended=0
