symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
EMIL-B,google_news_rss,True,2026-04-27,2026-05-27,0,0,0.0,,False,bootstrapped_empty
GRLA,google_news_rss,True,2026-04-27,2026-05-27,0,0,0.0,,False,bootstrapped_empty
SKJE,google_news_rss,True,2026-04-27,2026-05-27,0,0,0.0,,False,bootstrapped_empty
ATT,google_news_rss,True,2026-04-27,2026-05-27,4,4,4.0,,False,articles_appended=4
2GB,google_news_rss,True,2026-04-27,2026-05-27,8,8,4.0,,False,articles_appended=8
EKI,google_news_rss,True,2026-04-27,2026-05-27,4,4,3.0,,False,articles_appended=4
XFAB,google_news_rss,True,2026-04-27,2026-05-27,6,6,4.0,,False,articles_appended=6
ADDT-B,google_news_rss,True,2026-03-28,2026-05-27,2,2,4.0,,False,articles_appended=2
ZAP,google_news_rss,True,2026-04-27,2026-05-27,0,0,,,True,no_new_articles
SPG,google_news_rss,True,2026-05-19,2026-05-27,2,0,,,True,articles_appended=0
KAMBI,google_news_rss,True,2026-04-27,2026-05-27,15,15,7.0,,False,articles_appended=15
NDA-DK,google_news_rss,True,2026-04-27,2026-05-27,5,5,5.0,,False,articles_appended=5
SESG,google_news_rss,True,2026-04-27,2026-05-27,9,9,5.0,,False,articles_appended=9
ACX,google_news_rss,True,2026-05-11,2026-05-27,5,5,5.0,,False,articles_appended=5
AFG,google_news_rss,True,2026-04-27,2026-05-27,10,10,8.0,,False,articles_appended=10
AQ,google_news_rss,True,2026-04-27,2026-05-27,8,8,8.0,,False,articles_appended=8
INTEA-B,google_news_rss,True,2026-04-27,2026-05-27,0,0,0.0,,False,bootstrapped_empty
