symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
NEA,google_news_rss,True,2026-03-15,2026-04-14,0,0,,,True,no_new_articles
ROS,google_news_rss,True,2026-04-10,2026-04-14,9,1,3.0,,False,articles_appended=1
PLEJD,google_news_rss,True,2026-04-10,2026-04-14,8,1,4.0,,False,articles_appended=1
0AAL,google_news_rss,True,2026-03-15,2026-04-14,0,0,,,True,no_new_articles
GMM,google_news_rss,True,2026-04-10,2026-04-14,3,0,,,True,articles_appended=0
WHA,google_news_rss,True,2026-04-10,2026-04-14,4,1,8.0,,False,articles_appended=1
ACRI-B,google_news_rss,True,2026-03-15,2026-04-14,0,0,,,True,no_new_articles
ACOMO,google_news_rss,True,2026-03-15,2026-04-14,0,0,,,True,no_new_articles
0LCV,google_news_rss,True,2026-03-15,2026-04-14,0,0,,,True,no_new_articles
ARVEN,google_news_rss,True,2026-04-07,2026-04-14,2,0,,,True,articles_appended=0
COVH,google_news_rss,True,2026-03-15,2026-04-14,0,0,,,True,no_new_articles
TKA,google_news_rss,True,2026-04-01,2026-04-14,1,0,,,True,articles_appended=0
APETIT,google_news_rss,True,2026-03-24,2026-04-14,2,0,,,True,articles_appended=0
RAW,google_news_rss,True,2026-04-10,2026-04-14,4,1,7.0,,False,articles_appended=1
CTEK,google_news_rss,True,2026-04-04,2026-04-14,2,0,,,True,articles_appended=0
ELG,google_news_rss,True,2026-04-08,2026-04-14,6,0,,,True,articles_appended=0
RBI,google_news_rss,True,2026-04-10,2026-04-14,6,1,10.0,,False,articles_appended=1
ADKO,google_news_rss,True,2026-04-10,2026-04-14,8,1,7.0,,False,articles_appended=1
ALSOG,google_news_rss,True,2026-04-07,2026-04-14,4,1,6.0,,False,articles_appended=1
GURN,google_news_rss,True,2026-03-13,2026-04-14,1,0,,,True,articles_appended=0
