symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
MLWEA,google_news_rss,True,2026-05-05,2026-05-13,1,0,,,True,articles_appended=0
BKS,google_news_rss,True,2026-05-08,2026-05-13,1,0,,,True,articles_appended=0
MVE,google_news_rss,True,2026-04-13,2026-05-13,0,0,,,True,no_new_articles
CMO,google_news_rss,True,2026-04-27,2026-05-13,2,0,,,True,articles_appended=0
HAV,google_news_rss,True,2026-05-03,2026-05-13,3,1,6.0,,False,articles_appended=1
SCE,google_news_rss,True,2026-05-03,2026-05-13,4,0,,,True,articles_appended=0
PYT,google_news_rss,True,2026-05-03,2026-05-13,1,0,,,True,articles_appended=0
ALPAU,google_news_rss,True,2026-05-07,2026-05-13,2,1,4.0,,False,articles_appended=1
M12,google_news_rss,True,2026-04-26,2026-05-13,2,2,4.0,,False,articles_appended=2
ABEA,google_news_rss,True,2026-05-08,2026-05-13,11,5,15.0,,False,articles_appended=5
AYV,google_news_rss,True,2026-05-07,2026-05-13,2,1,11.0,,False,articles_appended=1
MLZAM,google_news_rss,True,2026-05-02,2026-05-13,0,0,,,True,no_new_articles
ALAVI,google_news_rss,True,2026-05-08,2026-05-13,1,0,,,True,articles_appended=0
HDLY,google_news_rss,True,2026-05-08,2026-05-13,1,0,,,True,articles_appended=0
APAM,google_news_rss,True,2026-05-02,2026-05-13,5,2,7.0,,False,articles_appended=2
BNN,google_news_rss,True,2026-05-06,2026-05-13,1,0,,,True,articles_appended=0
PHM7,google_news_rss,True,2026-05-08,2026-05-13,12,7,12.0,,False,articles_appended=7
ABEC,google_news_rss,True,2026-05-09,2026-05-13,14,8,13.0,,False,articles_appended=8
OUT1V,google_news_rss,True,2026-05-01,2026-05-13,12,12,5.0,,False,articles_appended=12
CAT1,google_news_rss,True,2026-05-09,2026-05-13,14,8,16.0,,False,articles_appended=8
WAF,google_news_rss,True,2026-05-08,2026-05-13,8,1,15.0,,False,articles_appended=1
SMHN,google_news_rss,True,2026-05-08,2026-05-13,4,0,,,True,articles_appended=0
