symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
0ROY,google_news_rss,True,2026-04-18,2026-04-23,6,3,6.0,,False,articles_appended=3
ZUBN,google_news_rss,True,2026-03-24,2026-04-23,0,0,,,True,no_new_articles
MLGAL,google_news_rss,True,2026-03-24,2026-04-23,0,0,,,True,no_new_articles
ILKKA1,google_news_rss,True,2026-03-24,2026-04-23,0,0,,,True,no_new_articles
FREY,google_news_rss,True,2026-04-19,2026-04-23,14,11,10.0,,False,articles_appended=11
TGS,google_news_rss,True,2026-03-24,2026-04-23,0,0,,,True,no_new_articles
CRAP,google_news_rss,True,2026-04-14,2026-04-23,2,0,,,True,articles_appended=0
CURN,google_news_rss,True,2026-03-24,2026-04-23,0,0,,,True,no_new_articles
CRTO,google_news_rss,True,2026-03-24,2026-04-23,0,0,,,True,no_new_articles
CBSM,google_news_rss,True,2026-03-24,2026-04-23,0,0,,,True,no_new_articles
M7U,google_news_rss,True,2026-03-22,2026-04-23,1,1,2.0,,False,articles_appended=1
ROBA,google_news_rss,True,2026-03-24,2026-04-23,0,0,,,True,no_new_articles
VIRI,google_news_rss,True,2026-04-06,2026-04-23,4,1,7.0,,False,articles_appended=1
EFG,google_news_rss,True,2026-04-18,2026-04-23,0,0,,,True,no_new_articles
