symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
0ROY,google_news_rss,True,2026-04-25,2026-05-01,4,3,13.0,,False,articles_appended=3
ZUBN,google_news_rss,True,2026-04-01,2026-05-01,0,0,,,True,no_new_articles
MLGAL,google_news_rss,True,2026-04-01,2026-05-01,0,0,,,True,no_new_articles
ILKKA1,google_news_rss,True,2026-04-01,2026-05-01,0,0,,,True,no_new_articles
FREY,google_news_rss,True,2026-04-27,2026-05-01,14,12,18.0,,False,articles_appended=12
TGS,google_news_rss,True,2026-04-01,2026-05-01,2,2,1.0,,False,articles_appended=2
CRAP,google_news_rss,True,2026-04-26,2026-05-01,2,1,7.0,,False,articles_appended=1
CURN,google_news_rss,True,2026-04-01,2026-05-01,0,0,,,True,no_new_articles
CRTO,google_news_rss,True,2026-04-01,2026-05-01,0,0,,,True,no_new_articles
CBSM,google_news_rss,True,2026-04-01,2026-05-01,0,0,,,True,no_new_articles
M7U,google_news_rss,True,2026-04-25,2026-05-01,1,0,,,True,articles_appended=0
ROBA,google_news_rss,True,2026-04-01,2026-05-01,0,0,,,True,no_new_articles
VIRI,google_news_rss,True,2026-04-26,2026-05-01,10,1,13.0,,False,articles_appended=1
EFG,google_news_rss,True,2026-04-26,2026-05-01,5,0,,,True,articles_appended=0
