symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
MXL,google_news_rss,True,2026-05-03,2026-05-07,17,8,28,,False,articles_appended=8
COHU,google_news_rss,True,2026-05-02,2026-05-07,9,4,21,,False,articles_appended=4
SXT,google_news_rss,True,2026-05-03,2026-05-07,6,4,16,,False,articles_appended=4
POET,google_news_rss,True,2026-05-02,2026-05-07,16,8,22,,False,articles_appended=8
UVE,google_news_rss,True,2026-05-03,2026-05-07,7,1,15,,False,articles_appended=1
MRAM,google_news_rss,True,2026-05-03,2026-05-07,10,4,20,,False,articles_appended=4
PDFS,google_news_rss,True,2026-05-01,2026-05-07,5,1,15,,False,articles_appended=1
