symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
MXL,google_news_rss,True,2026-04-22,2026-04-27,20,6,18.0,,False,articles_appended=6
COHU,google_news_rss,True,2026-04-22,2026-04-27,9,5,11.0,,False,articles_appended=5
SXT,google_news_rss,True,2026-04-23,2026-04-27,25,4,6.0,,False,articles_appended=4
POET,google_news_rss,True,2026-04-23,2026-04-27,16,9,13.0,,False,articles_appended=9
UVE,google_news_rss,True,2026-04-23,2026-04-27,18,6,6.0,,False,articles_appended=6
MRAM,google_news_rss,True,2026-04-21,2026-04-27,4,0,,,True,articles_appended=0
PDFS,google_news_rss,True,2026-04-22,2026-04-27,10,1,8.0,,False,articles_appended=1
LSCC,google_news_rss,True,2026-04-22,2026-04-27,15,3,11.0,,False,articles_appended=3
ESI,google_news_rss,True,2026-04-23,2026-04-27,9,2,8.0,,False,articles_appended=2
SCI,google_news_rss,True,2026-04-23,2026-04-27,7,3,11.0,,False,articles_appended=3
BKR,google_news_rss,True,2026-04-23,2026-04-27,28,9,7.0,,False,articles_appended=9
ENTG,google_news_rss,True,2026-04-22,2026-04-27,21,7,8.0,,False,articles_appended=7
DIOD,google_news_rss,True,2026-04-21,2026-04-27,3,1,10.0,,False,articles_appended=1
SYNA,google_news_rss,True,2026-04-22,2026-04-27,8,5,6.0,,False,articles_appended=5
HRTG,google_news_rss,True,2026-04-18,2026-04-27,3,0,,,True,articles_appended=0
