symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
LNTH,google_news_rss,True,2026-05-22,2026-05-26,15,3,8.0,,False,articles_appended=3
GFS,google_news_rss,True,2026-05-21,2026-05-26,19,6,7.0,,False,articles_appended=6
AA,google_news_rss,True,2026-05-21,2026-05-26,22,7,14.0,,False,articles_appended=7
AVR,google_news_rss,True,2026-04-26,2026-05-26,0,0,,,True,no_new_articles
CYD,google_news_rss,True,2026-05-22,2026-05-26,4,0,,,True,articles_appended=0
LTRX,google_news_rss,True,2026-05-20,2026-05-26,8,0,,,True,articles_appended=0
