symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
0AA9,yfinance,True,2026-03-14,2026-04-13,0,0,,,True,no_new_articles
0DNW,yfinance,True,2026-03-14,2026-04-13,0,0,,,True,no_new_articles
0QMG,yfinance,True,2026-03-14,2026-04-13,0,0,,,True,no_new_articles
AKVA,yfinance,True,2026-03-14,2026-04-13,0,0,,,True,no_new_articles
ALNSE,yfinance,True,2026-03-14,2026-04-13,0,0,,,True,no_new_articles
ALNT,yfinance,True,2026-03-14,2026-04-13,0,0,,,True,no_new_articles
ALRIB,yfinance,True,2026-03-14,2026-04-13,0,0,,,True,no_new_articles
ARVOSK,yfinance,True,2026-03-14,2026-04-13,0,0,,,True,no_new_articles
BALYO,yfinance,True,2026-03-14,2026-04-13,0,0,,,True,no_new_articles
BIJ,yfinance,True,2026-03-14,2026-04-13,0,0,,,True,no_new_articles
BOHO-PREF,yfinance,True,2026-03-14,2026-04-13,0,0,,,True,no_new_articles
ILKKA2,yfinance,True,2026-03-14,2026-04-13,0,0,,,True,no_new_articles
KREATE,yfinance,True,2026-03-14,2026-04-13,0,0,,,True,no_new_articles
LOIHDE,yfinance,True,2026-03-14,2026-04-13,0,0,,,True,no_new_articles
LOUP,yfinance,True,2026-03-14,2026-04-13,0,0,,,True,no_new_articles
LOYAL,yfinance,True,2026-03-14,2026-04-13,0,0,,,True,no_new_articles
NEWCAP,yfinance,True,2026-03-14,2026-04-13,0,0,,,True,no_new_articles
QH9,yfinance,True,2026-03-14,2026-04-13,0,0,,,True,no_new_articles
RIO1,yfinance,True,2026-03-14,2026-04-13,0,0,,,True,no_new_articles
SPIR,yfinance,True,2026-03-14,2026-04-13,0,0,,,True,no_new_articles
SQU,yfinance,True,2026-03-14,2026-04-13,0,0,,,True,no_new_articles
WMA,yfinance,True,2026-03-14,2026-04-13,0,0,,,True,no_new_articles
YHSP,yfinance,True,2026-03-14,2026-04-13,0,0,,,True,no_new_articles
FRT,yfinance,True,2026-03-14,2026-04-13,0,0,,,True,no_new_articles
TIMB,yfinance,True,2026-03-14,2026-04-13,0,0,,,True,no_new_articles
MRVL,yfinance,True,2026-03-14,2026-04-13,0,0,,,True,no_new_articles
AXIA,yfinance,True,2026-03-14,2026-04-13,0,0,,,True,no_new_articles
LION,yfinance,True,2026-03-14,2026-04-13,0,0,,,True,no_new_articles
