symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
0ROY,google_news_rss,True,2026-04-19,2026-04-27,5,1,8.0,,False,articles_appended=1
ZUBN,google_news_rss,True,2026-03-28,2026-04-27,0,0,,,True,no_new_articles
MLGAL,google_news_rss,True,2026-03-28,2026-04-27,0,0,,,True,no_new_articles
ILKKA1,google_news_rss,True,2026-03-28,2026-04-27,0,0,,,True,no_new_articles
FREY,google_news_rss,True,2026-04-23,2026-04-27,5,2,13.0,,False,articles_appended=2
TGS,google_news_rss,True,2026-03-28,2026-04-27,0,0,,,True,no_new_articles
CRAP,google_news_rss,True,2026-04-15,2026-04-27,2,0,,,True,articles_appended=0
CURN,google_news_rss,True,2026-03-28,2026-04-27,0,0,,,True,no_new_articles
CRTO,google_news_rss,True,2026-03-28,2026-04-27,0,0,,,True,no_new_articles
CBSM,google_news_rss,True,2026-03-28,2026-04-27,0,0,,,True,no_new_articles
M7U,google_news_rss,True,2026-04-19,2026-04-27,1,0,,,True,articles_appended=0
ROBA,google_news_rss,True,2026-03-28,2026-04-27,0,0,,,True,no_new_articles
VIRI,google_news_rss,True,2026-04-22,2026-04-27,2,0,,,True,articles_appended=0
EFG,google_news_rss,True,2026-04-21,2026-04-27,3,0,,,True,articles_appended=0
