symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
MLWEA,google_news_rss,True,2026-05-05,2026-05-14,1,0,,,True,articles_appended=0
BKS,google_news_rss,True,2026-05-08,2026-05-14,1,0,,,True,articles_appended=0
MVE,google_news_rss,True,2026-04-14,2026-05-14,0,0,,,True,no_new_articles
CMO,google_news_rss,True,2026-04-27,2026-05-14,2,0,,,True,articles_appended=0
HAV,google_news_rss,True,2026-05-03,2026-05-14,4,2,7.0,,False,articles_appended=2
SCE,google_news_rss,True,2026-05-03,2026-05-14,5,1,3.0,,False,articles_appended=1
PYT,google_news_rss,True,2026-05-03,2026-05-14,6,5,7.0,,False,articles_appended=5
ALPAU,google_news_rss,True,2026-05-09,2026-05-14,2,0,,,True,articles_appended=0
M12,google_news_rss,True,2026-05-09,2026-05-14,2,1,5.0,,False,articles_appended=1
ABEA,google_news_rss,True,2026-05-10,2026-05-14,10,7,16.0,,False,articles_appended=7
AYV,google_news_rss,True,2026-05-09,2026-05-14,6,5,13.0,,False,articles_appended=5
MLZAM,google_news_rss,True,2026-05-02,2026-05-14,0,0,,,True,no_new_articles
ALAVI,google_news_rss,True,2026-05-08,2026-05-14,1,1,3.0,,False,articles_appended=1
HDLY,google_news_rss,True,2026-05-08,2026-05-14,1,0,,,True,articles_appended=0
APAM,google_news_rss,True,2026-05-09,2026-05-14,3,1,8.0,,False,articles_appended=1
BNN,google_news_rss,True,2026-05-06,2026-05-14,1,0,,,True,articles_appended=0
PHM7,google_news_rss,True,2026-05-09,2026-05-14,14,7,13.0,,False,articles_appended=7
ABEC,google_news_rss,True,2026-05-09,2026-05-14,13,8,14.0,,False,articles_appended=8
OUT1V,google_news_rss,True,2026-05-09,2026-05-14,16,7,7.0,,False,articles_appended=7
CAT1,google_news_rss,True,2026-05-09,2026-05-14,15,12,18.0,,False,articles_appended=12
WAF,google_news_rss,True,2026-05-09,2026-05-14,6,2,17.0,,False,articles_appended=2
SMHN,google_news_rss,True,2026-05-08,2026-05-14,7,3,12.0,,False,articles_appended=3
