symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
HLIT,google_news_rss,True,2026-04-27,2026-05-27,18,18,10,,False,articles_appended=18
DKS,google_news_rss,True,2026-04-27,2026-05-27,20,20,6,,False,articles_appended=20
POWI,google_news_rss,True,2026-04-20,2026-05-27,15,15,12,,False,articles_appended=15
EC,google_news_rss,True,2026-04-27,2026-05-27,3,3,2,,False,articles_appended=3
MRVL,google_news_rss,True,2026-04-10,2026-05-27,20,20,13,,False,articles_appended=20
RAMP,google_news_rss,True,2026-04-27,2026-05-27,24,24,8,,False,articles_appended=24
VSH,google_news_rss,True,2026-04-14,2026-05-27,17,17,14,,False,articles_appended=17
AMBA,google_news_rss,True,2026-04-27,2026-05-27,19,19,8,,False,articles_appended=19
ATKR,google_news_rss,True,2026-04-27,2026-05-27,14,14,10,,False,articles_appended=14
GFS,google_news_rss,True,2026-05-22,2026-05-27,18,9,9,,False,articles_appended=9
BNS,google_news_rss,True,2026-04-27,2026-05-27,20,20,6,,False,articles_appended=20
