symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
DSCSY,google_news_rss,True,2026-05-22,2026-06-21,0,0,0.0,,False,bootstrapped_empty
SWBI,google_news_rss,True,2026-05-22,2026-06-21,23,23,5.0,,False,articles_appended=23
MIDD,google_news_rss,True,2026-05-22,2026-06-21,18,18,7.0,,False,articles_appended=18
NPO,google_news_rss,True,2026-05-22,2026-06-21,7,7,5.0,,False,articles_appended=7
VIRT,google_news_rss,True,2026-05-22,2026-06-21,23,23,12.0,,False,articles_appended=23
MRNA,google_news_rss,True,2026-05-22,2026-06-21,26,26,6.0,,False,articles_appended=26
GWW,google_news_rss,True,2026-05-22,2026-06-21,20,20,10.0,,False,articles_appended=20
TOELY,google_news_rss,True,2026-05-22,2026-06-21,0,0,,,True,no_new_articles
LTH,google_news_rss,True,2026-05-22,2026-06-21,16,16,10.0,,False,articles_appended=16
ESE,google_news_rss,True,2026-05-22,2026-06-21,12,12,8.0,,False,articles_appended=12
