symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
IVT,google_news_rss,True,2026-05-10,2026-06-09,10,10,8,,False,articles_appended=10
VOYA,google_news_rss,True,2026-05-10,2026-06-09,17,17,6,,False,articles_appended=17
BY,google_news_rss,True,2026-05-10,2026-06-09,7,7,4,,False,articles_appended=7
GEO,google_news_rss,True,2026-05-10,2026-06-09,20,20,11,,False,articles_appended=20
EXPD,google_news_rss,True,2026-05-10,2026-06-09,12,12,9,,False,articles_appended=12
AMG,google_news_rss,True,2026-06-03,2026-06-09,15,5,10,,False,articles_appended=5
CUZ,google_news_rss,True,2026-05-10,2026-06-09,16,16,8,,False,articles_appended=16
TFII,google_news_rss,True,2026-05-10,2026-06-09,7,7,6,,False,articles_appended=7
CXW,google_news_rss,True,2026-05-10,2026-06-09,13,13,8,,False,articles_appended=13
TD,google_news_rss,True,2026-05-26,2026-06-09,11,11,10,,False,articles_appended=11
FBP,google_news_rss,True,2026-04-18,2026-06-09,15,15,18,,False,articles_appended=15
