symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
EPEN,google_news_rss,True,2026-04-28,2026-05-28,3,3,2.0,,False,articles_appended=3
SYIFJERADKKA,google_news_rss,True,2026-04-28,2026-05-28,0,0,,,True,no_new_articles
ALESE,google_news_rss,True,2026-04-28,2026-05-28,0,0,0.0,,False,bootstrapped_empty
0DQ7,google_news_rss,True,2026-04-28,2026-05-28,3,3,3.0,,False,articles_appended=3
SFQ,google_news_rss,True,2026-04-28,2026-05-28,9,9,8.0,,False,articles_appended=9
MPCC,google_news_rss,True,2026-04-28,2026-05-28,15,15,4.0,,False,articles_appended=15
OEM-B,google_news_rss,True,2026-04-28,2026-05-28,0,0,0.0,,False,bootstrapped_empty
CON,google_news_rss,True,2026-04-28,2026-05-28,7,7,6.0,,False,articles_appended=7
ELK,google_news_rss,True,2026-05-14,2026-05-28,1,1,7.0,,False,articles_appended=1
INTEA-B,google_news_rss,True,2026-04-28,2026-05-28,0,0,,,True,no_new_articles
COTN,google_news_rss,True,2026-05-18,2026-05-28,3,1,21.0,,False,articles_appended=1
SESG,google_news_rss,True,2026-05-21,2026-05-28,2,0,,,True,articles_appended=0
MTE,google_news_rss,True,2026-04-28,2026-05-28,16,16,4.0,,False,articles_appended=16
FR,google_news_rss,True,2026-04-28,2026-05-28,12,12,6.0,,False,articles_appended=12
PUM,google_news_rss,True,2026-05-19,2026-05-28,3,2,8.0,,False,articles_appended=2
