symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
0AAL,google_news_rss,True,2026-03-21,2026-04-20,0,0,,,True,no_new_articles
B7J,google_news_rss,True,2026-04-15,2026-04-20,2,0,,,True,articles_appended=0
ACAST,google_news_rss,True,2026-04-14,2026-04-20,3,1,4.0,,False,articles_appended=1
ALWEC,google_news_rss,True,2026-03-21,2026-04-20,0,0,,,True,no_new_articles
BOY,google_news_rss,True,2026-04-16,2026-04-20,7,2,8.0,,False,articles_appended=2
RTC,google_news_rss,True,2026-04-14,2026-04-20,0,0,,,True,no_new_articles
ECK,google_news_rss,True,2026-03-21,2026-04-20,0,0,,,True,no_new_articles
MEMS,google_news_rss,True,2026-03-21,2026-04-20,0,0,,,True,no_new_articles
SEM,google_news_rss,True,2026-04-14,2026-04-20,1,0,,,True,articles_appended=0
0A29,google_news_rss,True,2026-04-13,2026-04-20,1,0,,,True,articles_appended=0
SYIFJERADKKA,google_news_rss,True,2026-03-21,2026-04-20,0,0,,,True,no_new_articles
SKIVEK,google_news_rss,True,2026-04-10,2026-04-20,0,0,,,True,no_new_articles
GLKBN,google_news_rss,True,2026-04-13,2026-04-20,2,1,5.0,,False,articles_appended=1
AMD,google_news_rss,True,2026-04-16,2026-04-20,27,11,9.0,,False,articles_appended=11
INSTAL,google_news_rss,True,2026-03-21,2026-04-20,0,0,,,True,no_new_articles
CWIEMMKL,google_news_rss,True,2026-03-21,2026-04-20,0,0,,,True,no_new_articles
ASCN,google_news_rss,True,2026-04-13,2026-04-20,2,1,6.0,,False,articles_appended=1
ASY,google_news_rss,True,2026-04-15,2026-04-20,2,0,,,True,articles_appended=0
LBIRD,google_news_rss,True,2026-04-05,2026-04-20,1,0,,,True,articles_appended=0
GSJ,google_news_rss,True,2026-03-21,2026-04-20,1,1,1.0,,False,articles_appended=1
VAIAS,google_news_rss,True,2026-04-06,2026-04-20,1,0,,,True,articles_appended=0
NAVIGO-PREF,google_news_rss,True,2026-03-21,2026-04-20,0,0,,,True,no_new_articles
CMBN,google_news_rss,True,2026-04-07,2026-04-20,1,0,,,True,articles_appended=0
FASTPC,google_news_rss,True,2026-03-21,2026-04-20,0,0,,,True,no_new_articles
0J6V,google_news_rss,True,2026-04-14,2026-04-20,9,1,3.0,,False,articles_appended=1
SHF,google_news_rss,True,2026-04-11,2026-04-20,1,1,3.0,,False,articles_appended=1
SOI,google_news_rss,True,2026-04-15,2026-04-20,5,1,11.0,,False,articles_appended=1
VIRP,google_news_rss,True,2026-04-15,2026-04-20,9,3,8.0,,False,articles_appended=3
QH9,google_news_rss,True,2026-04-15,2026-04-20,12,2,11.0,,False,articles_appended=2
CABK,google_news_rss,True,2026-04-15,2026-04-20,9,3,9.0,,False,articles_appended=3
DG,google_news_rss,True,2026-04-16,2026-04-20,14,5,10.0,,False,articles_appended=5
INVE-B,google_news_rss,True,2026-03-21,2026-04-20,0,0,,,True,no_new_articles
DB1,google_news_rss,True,2026-04-16,2026-04-20,9,6,11.0,,False,articles_appended=6
ALFA,google_news_rss,True,2026-04-14,2026-04-20,5,2,10.0,,False,articles_appended=2
UTDI,google_news_rss,True,2026-03-21,2026-04-20,0,0,,,True,no_new_articles
ADDT-B,google_news_rss,True,2026-03-28,2026-04-20,1,0,,,True,articles_appended=0
ABBN,google_news_rss,True,2026-04-16,2026-04-20,7,6,14.0,,False,articles_appended=6
NOD,google_news_rss,True,2026-04-14,2026-04-20,1,0,,,True,articles_appended=0
DFDS,google_news_rss,True,2026-04-11,2026-04-20,4,1,2.0,,False,articles_appended=1
