symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
MXL,google_news_rss,True,2026-04-27,2026-05-01,21,10,22,,False,articles_appended=10
COHU,google_news_rss,True,2026-04-27,2026-05-01,18,17,15,,False,articles_appended=17
SXT,google_news_rss,True,2026-04-26,2026-05-01,18,6,10,,False,articles_appended=6
POET,google_news_rss,True,2026-04-27,2026-05-01,24,9,16,,False,articles_appended=9
UVE,google_news_rss,True,2026-04-26,2026-05-01,15,7,10,,False,articles_appended=7
MRAM,google_news_rss,True,2026-04-27,2026-05-01,19,17,15,,False,articles_appended=17
PDFS,google_news_rss,True,2026-04-26,2026-05-01,10,4,13,,False,articles_appended=4
