symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
BHPLF,google_news_rss,True,2026-05-04,2026-06-03,15,15,7,,False,articles_appended=15
AVGO,google_news_rss,True,2026-05-29,2026-06-03,30,28,9,,False,articles_appended=28
AVT,google_news_rss,True,2026-05-04,2026-06-03,19,19,12,,False,articles_appended=19
SNX,google_news_rss,True,2026-05-29,2026-06-03,18,15,16,,False,articles_appended=15
COHU,google_news_rss,True,2026-05-10,2026-06-03,17,17,34,,False,articles_appended=17
FRHC,google_news_rss,True,2026-05-04,2026-06-03,28,28,5,,False,articles_appended=28
HCC,google_news_rss,True,2026-05-04,2026-06-03,16,16,9,,False,articles_appended=16
FTK,google_news_rss,True,2026-05-04,2026-06-03,13,13,7,,False,articles_appended=13
TX,google_news_rss,True,2026-05-04,2026-06-03,6,6,4,,False,articles_appended=6
BFH,google_news_rss,True,2026-05-04,2026-06-03,17,17,9,,False,articles_appended=17
ATEN,google_news_rss,True,2026-05-04,2026-06-03,3,3,3,,False,articles_appended=3
