symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
FAST,google_news_rss,True,2026-04-21,2026-05-24,0,0,,,True,no_new_articles
ERCB,google_news_rss,True,2026-04-24,2026-05-24,1,1,1.0,,False,articles_appended=1
CLR,google_news_rss,True,2026-04-24,2026-05-24,0,0,,,True,no_new_articles
SPG,google_news_rss,True,2026-05-19,2026-05-24,2,0,,,True,articles_appended=0
SAVE,google_news_rss,True,2026-04-24,2026-05-24,4,4,4.0,,False,articles_appended=4
12DA,google_news_rss,True,2026-04-24,2026-05-24,0,0,0.0,,False,bootstrapped_empty
AMS2,google_news_rss,True,2026-04-24,2026-05-24,14,14,10.0,,False,articles_appended=14
VLK,google_news_rss,True,2026-04-24,2026-05-24,4,4,3.0,,False,articles_appended=4
E3B,google_news_rss,True,2026-04-24,2026-05-24,9,9,7.0,,False,articles_appended=9
ELK,google_news_rss,True,2026-04-24,2026-05-24,9,9,6.0,,False,articles_appended=9
AKER,google_news_rss,True,2026-04-24,2026-05-24,18,18,5.0,,False,articles_appended=18
PUM,google_news_rss,True,2026-04-24,2026-05-24,7,7,7.0,,False,articles_appended=7
NN,google_news_rss,True,2026-04-13,2026-05-24,17,17,12.0,,False,articles_appended=17
ZAP,google_news_rss,True,2026-04-24,2026-05-24,0,0,,,True,no_new_articles
VICO,google_news_rss,True,2026-04-24,2026-05-24,1,1,1.0,,False,articles_appended=1
STORY-B,google_news_rss,True,2026-04-24,2026-05-24,3,3,2.0,,False,articles_appended=3
PLEJD,google_news_rss,True,2026-04-10,2026-05-24,2,2,6.0,,False,articles_appended=2
COTN,google_news_rss,True,2026-04-12,2026-05-24,12,12,20.0,,False,articles_appended=12
ANDR,google_news_rss,True,2026-04-24,2026-05-24,10,10,8.0,,False,articles_appended=10
