symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
HPE-P-C,google_news_rss,True,2026-05-01,2026-05-31,0,0,,,True,no_new_articles
HPE-PC,google_news_rss,True,2026-05-27,2026-05-31,12,6,15.0,,False,articles_appended=6
HPE,google_news_rss,True,2026-05-27,2026-05-31,19,8,7.0,,False,articles_appended=8
RPRX,google_news_rss,True,2026-05-26,2026-05-31,15,4,6.0,,False,articles_appended=4
DELL,google_news_rss,True,2026-05-27,2026-05-31,28,8,5.0,,False,articles_appended=8
NTAP,google_news_rss,True,2026-05-27,2026-05-31,20,7,9.0,,False,articles_appended=7
SNX,google_news_rss,True,2026-05-26,2026-05-31,17,4,13.0,,False,articles_appended=4
ALKS,google_news_rss,True,2026-05-27,2026-05-31,9,5,9.0,,False,articles_appended=5
F,google_news_rss,True,2026-05-26,2026-05-31,28,15,8.0,,False,articles_appended=15
SN,google_news_rss,True,2026-05-26,2026-05-31,11,2,13.0,,False,articles_appended=2
MRCY,google_news_rss,True,2026-05-26,2026-05-31,19,4,5.0,,False,articles_appended=4
ATI,google_news_rss,True,2026-04-27,2026-05-31,2,1,1.0,,False,articles_appended=1
RVMD,google_news_rss,True,2026-05-27,2026-05-31,6,3,15.0,,False,articles_appended=3
AVGO,google_news_rss,True,2026-05-26,2026-05-31,21,9,5.0,,False,articles_appended=9
IVZ,google_news_rss,True,2026-05-27,2026-05-31,11,7,10.0,,False,articles_appended=7
GE,google_news_rss,True,2026-05-27,2026-05-31,9,3,9.0,,False,articles_appended=3
