symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
MLWEA,google_news_rss,True,2026-05-03,2026-05-10,1,0,,,True,articles_appended=0
BKS,google_news_rss,True,2026-05-02,2026-05-10,1,0,,,True,articles_appended=0
MVE,google_news_rss,True,2026-04-10,2026-05-10,0,0,,,True,no_new_articles
CMO,google_news_rss,True,2026-04-27,2026-05-10,3,0,,,True,articles_appended=0
HAV,google_news_rss,True,2026-05-03,2026-05-10,3,0,,,True,articles_appended=0
SCE,google_news_rss,True,2026-05-03,2026-05-10,3,0,,,True,articles_appended=0
PYT,google_news_rss,True,2026-05-03,2026-05-10,2,1,6.0,,False,articles_appended=1
ALPAU,google_news_rss,True,2026-04-28,2026-05-10,1,0,,,True,articles_appended=0
M12,google_news_rss,True,2026-04-26,2026-05-10,0,0,,,True,no_new_articles
ABEA,google_news_rss,True,2026-05-06,2026-05-10,11,7,13.0,,False,articles_appended=7
AYV,google_news_rss,True,2026-05-03,2026-05-10,6,2,10.0,,False,articles_appended=2
MLZAM,google_news_rss,True,2026-05-02,2026-05-10,0,0,,,True,no_new_articles
ALAVI,google_news_rss,True,2026-04-28,2026-05-10,2,0,,,True,articles_appended=0
HDLY,google_news_rss,True,2026-05-04,2026-05-10,3,2,3.0,,False,articles_appended=2
APAM,google_news_rss,True,2026-05-02,2026-05-10,4,0,,,True,articles_appended=0
BNN,google_news_rss,True,2026-04-10,2026-05-10,1,1,1.0,,False,articles_appended=1
PHM7,google_news_rss,True,2026-05-06,2026-05-10,13,3,10.0,,False,articles_appended=3
ABEC,google_news_rss,True,2026-05-05,2026-05-10,12,6,10.0,,False,articles_appended=6
OUT1V,google_news_rss,True,2026-05-01,2026-05-10,0,0,,,True,no_new_articles
CAT1,google_news_rss,True,2026-05-05,2026-05-10,14,7,14.0,,False,articles_appended=7
WAF,google_news_rss,True,2026-05-05,2026-05-10,8,4,13.0,,False,articles_appended=4
SMHN,google_news_rss,True,2026-05-06,2026-05-10,12,4,9.0,,False,articles_appended=4
