symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
GSAT,google_news_rss,True,2026-03-16,2026-04-15,3,3,3.0,,False,articles_appended=3
TVTX,google_news_rss,True,2026-03-16,2026-04-15,26,26,4.0,,False,articles_appended=26
AVNS,google_news_rss,True,2026-03-16,2026-04-15,19,19,1.0,,False,articles_appended=19
BKH,google_news_rss,True,2026-03-16,2026-04-15,22,22,9.0,,False,articles_appended=22
CPRX,google_news_rss,True,2026-03-16,2026-04-15,17,17,12.0,,False,articles_appended=17
LION,google_news_rss,True,2026-03-16,2026-04-15,0,0,,,True,no_new_articles
LGND,google_news_rss,True,2026-03-16,2026-04-15,12,12,10.0,,False,articles_appended=12
DAC,google_news_rss,True,2026-03-16,2026-04-15,10,10,8.0,,False,articles_appended=10
ECG,google_news_rss,True,2026-03-16,2026-04-15,14,14,9.0,,False,articles_appended=14
CLS,google_news_rss,True,2026-03-16,2026-04-15,20,20,9.0,,False,articles_appended=20
WT,google_news_rss,True,2026-03-16,2026-04-15,27,27,15.0,,False,articles_appended=27
WASH,google_news_rss,True,2026-03-16,2026-04-15,11,11,9.0,,False,articles_appended=11
SKYT,google_news_rss,True,2026-03-16,2026-04-15,13,13,5.0,,False,articles_appended=13
REZI,google_news_rss,True,2026-03-16,2026-04-15,12,12,6.0,,False,articles_appended=12
