symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
MXL,google_news_rss,True,2026-05-06,2026-05-10,17,5,31,,False,articles_appended=5
COHU,google_news_rss,True,2026-05-04,2026-05-10,9,1,22,,False,articles_appended=1
SXT,google_news_rss,True,2026-05-04,2026-05-10,10,2,17,,False,articles_appended=2
POET,google_news_rss,True,2026-05-06,2026-05-10,11,3,25,,False,articles_appended=3
UVE,google_news_rss,True,2026-05-06,2026-05-10,4,1,18,,False,articles_appended=1
MRAM,google_news_rss,True,2026-05-05,2026-05-10,13,6,23,,False,articles_appended=6
PDFS,google_news_rss,True,2026-05-06,2026-05-10,16,3,20,,False,articles_appended=3
