symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
RAPP,google_news_rss,True,2026-03-19,2026-04-18,1,1,1.0,,False,articles_appended=1
LION,google_news_rss,True,2026-03-19,2026-04-18,0,0,,,True,no_new_articles
MXL,google_news_rss,True,2026-03-19,2026-04-18,20,20,10.0,,False,articles_appended=20
TRVI,google_news_rss,True,2026-03-19,2026-04-18,17,17,3.0,,False,articles_appended=17
CVBF,google_news_rss,True,2026-03-19,2026-04-18,14,14,9.0,,False,articles_appended=14
DOV,google_news_rss,True,2026-03-19,2026-04-18,24,24,7.0,,False,articles_appended=24
SPXC,google_news_rss,True,2026-03-19,2026-04-18,15,15,7.0,,False,articles_appended=15
FFBC,google_news_rss,True,2026-03-19,2026-04-18,17,17,8.0,,False,articles_appended=17
HTBK,google_news_rss,True,2026-03-19,2026-04-18,11,11,10.0,,False,articles_appended=11
SYF,google_news_rss,True,2026-03-19,2026-04-18,13,13,7.0,,False,articles_appended=13
FRO,google_news_rss,True,2026-03-19,2026-04-18,21,21,14.0,,False,articles_appended=21
APG,google_news_rss,True,2026-03-19,2026-04-18,19,19,7.0,,False,articles_appended=19
SFNC,google_news_rss,True,2026-03-19,2026-04-18,23,23,3.0,,False,articles_appended=23
ALLY,google_news_rss,True,2026-03-19,2026-04-18,15,15,2.0,,False,articles_appended=15
