symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
RVMD,google_news_rss,True,2026-03-15,2026-04-14,24,24,2,,False,articles_appended=24
SYRE,google_news_rss,True,2026-03-15,2026-04-14,26,26,2,,False,articles_appended=26
OPTX,google_news_rss,True,2026-03-15,2026-04-14,15,15,7,,False,articles_appended=15
FORM,google_news_rss,True,2026-03-15,2026-04-14,22,22,9,,False,articles_appended=22
AXAHY,google_news_rss,True,2026-03-15,2026-04-14,0,0,0,,False,bootstrapped_empty
KMTUY,google_news_rss,True,2026-03-15,2026-04-14,17,17,13,,False,articles_appended=17
ASND,google_news_rss,True,2026-03-15,2026-04-14,20,20,8,,False,articles_appended=20
BAP,google_news_rss,True,2026-03-15,2026-04-14,16,16,9,,False,articles_appended=16
SQM,google_news_rss,True,2026-03-15,2026-04-14,1,1,1,,False,articles_appended=1
NOK,google_news_rss,True,2026-03-15,2026-04-14,11,11,11,,False,articles_appended=11
BNPQY,google_news_rss,True,2026-03-15,2026-04-14,0,0,0,,False,bootstrapped_empty
IFNNY,google_news_rss,True,2026-03-15,2026-04-14,0,0,0,,False,bootstrapped_empty
WLFC,google_news_rss,True,2026-03-15,2026-04-14,18,18,10,,False,articles_appended=18
NEXA,google_news_rss,True,2026-03-15,2026-04-14,14,14,8,,False,articles_appended=14
GRC,google_news_rss,True,2026-03-15,2026-04-14,12,12,10,,False,articles_appended=12
